recording_key;rank;time_start_sec;time_end_sec;freq_start_hz;freq_end_hz;energy
a;1;3.900;4.000;400.0;450.0;1.344525171957
a;2;4.200;4.300;400.0;450.0;0.930377912046
a;3;4.000;4.100;400.0;450.0;0.839850808332
a;4;4.100;4.200;400.0;450.0;0.821825813429
a;5;4.300;4.400;400.0;450.0;0.687037938428
a;6;4.500;4.600;400.0;450.0;0.588890393008
a;7;4.400;4.500;400.0;450.0;0.563556578721
a;8;3.800;3.900;400.0;450.0;0.542827797426
a;9;4.800;4.900;450.0;500.0;0.448269326665
a;10;4.700;4.800;450.0;500.0;0.370671372866
a;11;5.000;5.100;500.0;550.0;0.329908080404
a;12;4.900;5.000;500.0;550.0;0.309949994057
a;13;4.600;4.700;400.0;450.0;0.290124173755
a;14;5.100;5.200;500.0;550.0;0.273140351322
a;15;6.200;6.300;700.0;750.0;0.261597596812
a;16;5.200;5.300;500.0;550.0;0.217930754458
a;17;5.500;5.600;500.0;550.0;0.208015280516
a;18;5.400;5.500;500.0;550.0;0.194251484020
a;19;6.300;6.400;700.0;750.0;0.188546557440
a;20;6.500;6.600;700.0;750.0;0.182045166067
i;1;4.100;4.200;350.0;400.0;0.361654803573
i;2;4.500;4.600;450.0;500.0;0.328343942937
i;3;4.600;4.700;450.0;500.0;0.303001444143
i;4;4.700;4.800;450.0;500.0;0.266087582975
i;5;4.400;4.500;450.0;500.0;0.230308317297
i;6;4.900;5.000;450.0;500.0;0.208670595855
i;7;5.300;5.400;450.0;500.0;0.206236605857
i;8;4.300;4.400;450.0;500.0;0.201937419179
i;9;4.800;4.900;450.0;500.0;0.197440786713
i;10;5.000;5.100;450.0;500.0;0.196883743596
i;11;5.200;5.300;450.0;500.0;0.195664476462
i;12;5.500;5.600;450.0;500.0;0.188660297167
i;13;3.300;3.400;200.0;250.0;0.182321603420
i;14;4.000;4.100;300.0;350.0;0.175946138931
i;15;3.200;3.300;200.0;250.0;0.172419193496
i;16;5.100;5.200;450.0;500.0;0.169586579048
i;17;5.600;5.700;450.0;500.0;0.162424589044
i;18;5.400;5.500;450.0;500.0;0.158789970239
i;19;3.000;3.100;200.0;250.0;0.156184136549
i;20;2.900;3.000;200.0;250.0;0.147846303483
animal;1;2.000;2.100;500.0;550.0;0.095770713207
animal;2;3.700;3.800;450.0;500.0;0.079360415190
animal;3;2.000;2.100;450.0;500.0;0.076589229919
animal;4;2.700;2.800;150.0;200.0;0.075179427684
animal;5;2.000;2.100;400.0;450.0;0.070955142040
animal;6;1.000;1.100;150.0;200.0;0.061625428794
animal;7;2.000;2.100;200.0;250.0;0.055778333382
animal;8;0.900;1.000;150.0;200.0;0.053528185192
animal;9;1.100;1.200;100.0;150.0;0.053034610397
animal;10;5.000;5.100;150.0;200.0;0.051200178445
animal;11;5.900;6.000;250.0;300.0;0.049306004730
animal;12;3.700;3.800;200.0;250.0;0.047533317202
animal;13;2.100;2.200;150.0;200.0;0.046671837886
animal;14;2.600;2.700;200.0;250.0;0.044967789946
animal;15;2.000;2.100;150.0;200.0;0.044821355738
animal;16;5.200;5.300;250.0;300.0;0.043491821958
animal;17;3.700;3.800;500.0;550.0;0.043267455013
animal;18;3.900;4.000;100.0;150.0;0.043173860167
animal;19;4.900;5.000;400.0;450.0;0.043083860011
animal;20;4.900;5.000;450.0;500.0;0.041677532266
